Acct,Type,Date,Num,Name,Memo,Split,Debit,Credit,Net,AcctNum,FS_Group
Company Checking Account,Check,2018-01-01,5001,Kuver Property,Janaury Rent,Rent,0.0,583.75,-583.75,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-01,5000,Online Accounting,Set up QuickBooks file,Accounting Fees,0.0,225.0,-225.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Deposit,2018-01-01,,,Deposit,-SPLIT-,31349.0,0.0,31349.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-05,5002,Deborah Wood (Owner),Petty Cash,Petty Cash Account,0.0,500.0,-500.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-08,5003,Gas & Electic Company,ACCT# 098703,Utilities,0.0,65.08,-65.08,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-01-15,3001,"King, Vicki",,-SPLIT-,0.0,167.72,-167.72,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-15,5007,Automobile Loan Company,Car lease,Car Lease,0.0,563.0,-563.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-01-15,3003,"Bolinski, Rafal",,-SPLIT-,0.0,310.78,-310.78,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-01-15,3004,"Deen, Jeannette",,-SPLIT-,0.0,218.96,-218.96,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-22,5011,Office Supply Store,Acct# 27804,Supplies,0.0,634.21,-634.21,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-22,5010,Local Phone Company,6503221414,Telephone,0.0,253.0,-253.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-22,5008,Cell Phone Company,Cell,Telephone,0.0,101.18,-101.18,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-22,5009,Fisse Fast Package Delivery,ACCT# 256044025,Postage and Delivery,0.0,78.0,-78.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5013,Gretton Insurance Co.,WC Policy # 87023 Jan07,-SPLIT-,0.0,231.84,-231.84,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5014,Payroll Service Co., Payroll,Payroll Service Fees,0.0,127.08,-127.08,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5015,Pace Shipping Supplies,Acct# 45980,Office Equipment,0.0,25.0,-25.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5017,Health Insurance Co.,Employee Health Insurance Policy#258BVF4,-SPLIT-,0.0,543.83,-543.83,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5016,Deborah Wood (Owner),13103 Exp Report,Travel,0.0,55.23,-55.23,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5012,"King, Vicki",,Meals and Entertainment,0.0,55.0,-55.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-25,5018,Novello Lights Magazine,Q1 07 Ad,Advertising Expense,0.0,500.0,-500.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-26,5019,Deborah Wood (Owner),Owners Draw,Deborah Wood Draws,0.0,10500.0,-10500.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-29,5020,Credit Card,ACCT# 3786401297855001,QuickBooks Credit Card,0.0,95.71,-95.71,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-29,5021,Gretton Insurance Co.,Liability Ins. Policy#203654,Prepaid Insurance,0.0,6875.0,-6875.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Deposit,2018-01-30,,,Deposit,-SPLIT-,3064.0,0.0,3064.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5024,Jeff's Janitorial,Jan07,Maintenance/Janitorial,0.0,200.0,-200.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5025,"Lawson Professional Seminars, Inc.",Spring Seminar #407,Conferences and Seminars,0.0,1000.0,-1000.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5026,Gretton Insurance Co.,Policy # 14B09 Jan07,General Liability Insurance,0.0,230.0,-230.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5027,Professional Association,07 Annual dues,Dues and Subscriptions,0.0,500.0,-500.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5028,Professional Association,07 Annual dues,Dues and Subscriptions,0.0,350.0,-350.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5022,Automobile Insurance Company,Auto Insurance Policy # 14906,Insurance-Auto,0.0,120.0,-120.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-01-31,5023,Jonathan Graham (reimbursments),13103 Expense Report,-SPLIT-,0.0,223.15,-223.15,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-02-01,5029,Kuver Property,February Rent,Rent,0.0,583.75,-583.75,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-02-01,3004,"King, Vicki",,-SPLIT-,0.0,117.72,-117.72,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-02-01,3005,"Bolinski, Rafal",,-SPLIT-,0.0,310.78,-310.78,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-02-01,3006,"Deen, Jeannette",,-SPLIT-,0.0,218.96,-218.96,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-02-05,5031,Local Bank,Interest on Line of Credit Jan 07,Interest Expense,0.0,100.13,-100.13,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-02-05,5030,Gretton Insurance Co.,"Feb 07 WC Policy # 87023, Gen Liab. #14B09",-SPLIT-,0.0,461.84,-461.84,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-02-07,5032,Gas & Electic Company,ACCT# 098703,Utilities,0.0,55.08,-55.08,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Transfer,2018-02-09,,,Funds Transfer,Line of Credit,0.0,10000.0,-10000.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-02-15,3006,"King, Vicki",,-SPLIT-,0.0,217.72,-217.72,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Check,2018-02-15,5037,Automobile Loan Company,Car lease,Car Lease,0.0,563.0,-563.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Liability Check,2018-02-15,5036,Sec125 Administrator,Acct#  870547,SEC125 Payable,0.0,50.0,-50.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-02-15,3007,"Bolinski, Rafal",,-SPLIT-,0.0,310.78,-310.78,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Paycheck,2018-02-15,3008,"Deen, Jeannette",,-SPLIT-,0.0,218.96,-218.96,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Deposit,2018-02-15,,,Deposit,Undeposited Funds,2381.0,0.0,2381.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Liability Check,2018-02-15,5347,Local Bank,55-5555555,-SPLIT-,0.0,600.59,-600.59,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Deposit,2018-02-17,,,Deposit,Undeposited Funds,21330.0,0.0,21330.0,1000,CASH AND CASH EQUIVALENTS
Company Checking Account,Bill Pmt -Check,2018-02-20,3063,Paulsen's Lighting,,Accounts Payable,0.0,2520.0,-2520.0,1000,CASH AND CASH EQUIVALENTS
